year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2011,Chevrolet,Equinox,LTZ,SUV,automatic,2cnalfecxb6336309,il,3.0,64680.0,gray,black,ally,14650.0,14100.0,2015-02-26 02:00:00+08:00
2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5c57bf127600,nv,4.0,14505.0,blue,tan,financial services remarketing (lease),21900.0,21000.0,2015-01-22 06:30:00+08:00
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg9er255287,mi,5.0,20738.0,gold,black,hertz corporation/gdp,19350.0,20000.0,2015-02-19 01:30:00+08:00
2006,Subaru,B9 Tribeca,Limited 5-Passenger,SUV,automatic,4s4wx83c564409540,nc,3.0,133320.0,green,tan,primeritus remarketing/yem,6150.0,6700.0,2015-03-09 02:30:00+07:00
2005,Dodge,Stratus,SXT,Sedan,automatic,1b3el46x15n653909,pa,2.0,137046.0,silver,gray,credit acceptance corp/vrs/southfield,1375.0,1250.0,2015-02-10 01:30:00+08:00
2006,Acura,TSX,Base,Sedan,manual,jh4cl95846c019471,nj,2.0,125744.0,red,beige,santander consumer,6475.0,5000.0,2015-02-11 01:30:00+08:00
2011,Toyota,Camry,SE,Sedan,automatic,4t1bf3ek2bu759646,fl,2.0,45861.0,black,tan,autonation toyota winter park,12050.0,10800.0,2015-02-17 01:15:00+08:00
2004,Nissan,Armada,LE,SUV,automatic,5n1aa08a24n700539,fl,2.0,125211.0,gray,gray,autonation nissan clearwater,6900.0,7400.0,2015-01-27 01:15:00+08:00
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2apxcn459486,nc,2.0,59224.0,gray,black,gateway financial services,10650.0,3700.0,2015-02-24 00:30:00+08:00
2003,Pontiac,Grand Am,GT1,Coupe,automatic,1g2nv12e93c134728,tx,1.0,1.0,silver,gray,manheim dallas,2875.0,1300.0,2015-04-07 04:00:00+07:00
2012,Ford,Focus,SE,sedan,automatic,1fahp3f26cl358642,nj,5.0,2835.0,red,black,ford motor credit company llc,11100.0,12400.0,2015-06-03 02:00:00+07:00
2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap9ec282479,tn,5.0,7723.0,black,black,nissan north america inc.,17850.0,15600.0,2014-12-18 10:00:00+08:00
2013,Hyundai,Sonata Hybrid,Base,sedan,automatic,kmhec4a43da050490,fl,3.0,42801.0,silver,gray,remarketing by ge/mccoy leasing & finance inc,12250.0,11700.0,2015-06-17 02:00:00+07:00
2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,2g1wc5e31e1122338,il,4.0,23882.0,black,gray,gm remarketing,14550.0,14800.0,2015-02-19 03:00:00+08:00
2015,Chrysler,200,S,Sedan,automatic,1c3cccbg6fn586056,il,3.0,9065.0,silver,black,chrysler group llc,18300.0,18700.0,2015-02-26 03:00:00+08:00
2012,Toyota,Tacoma,Base,Double Cab,automatic,5tfjx4cn9cx012660,az,2.0,26105.0,silver,gray,toyota financial services,20400.0,19700.0,2015-01-29 03:30:00+08:00
2011,Toyota,Camry,LE,Sedan,automatic,4t1bf3ek3bu171383,fl,3.0,27727.0,gold,tan,capital one auto finance,12050.0,12400.0,2015-03-04 01:10:00+08:00
2002,Pontiac,Sunfire,SE,Coupe,automatic,1g2jb124227396919,wa,2.0,1.0,white,gray,donate for charity,1550.0,375.0,2015-01-28 04:30:00+08:00
2015,Hyundai,Sonata,SE,Sedan,automatic,5npe24af1fh026516,sc,2.0,13502.0,white,gray,enterprise vehicle exchange / tra / rental / tulsa,15950.0,12000.0,2015-02-12 00:30:00+08:00
2013,Hyundai,Veloster,Base,Hatchback,manual,kmhtc6ad3du149649,pr,4.0,15743.0,blue,black,oriental bank,14650.0,16000.0,2015-02-26 03:30:00+08:00
2014,Chevrolet,Sonic,LTZ,Sedan,automatic,1g1je5sb5e4191117,il,3.0,9616.0,black,black,gm remarketing,12700.0,12900.0,2015-02-19 03:00:00+08:00
2014,Chevrolet,Malibu,LTZ,Sedan,automatic,1g11h5sl9ef251162,il,4.0,23642.0,off-white,black,gm remarketing,17300.0,18500.0,2015-02-19 03:00:00+08:00
2014,Dodge,Grand Caravan,SXT,minivan,automatic,2c4rdgcgxer210471,ne,4.0,43496.0,white,black,enterprise vehicle exchange/davenport,15150.0,15700.0,2015-06-11 03:30:00+07:00
2006,Ford,Taurus,SE,sedan,automatic,1fafp53u16a252303,nj,2.0,158881.0,red,gray,dch wappingers falls toyota auto group,975.0,800.0,2015-05-27 02:30:00+07:00
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg7er442818,pa,4.0,17738.0,gray,black,enterprise holdings/gdp,19600.0,19600.0,2015-02-05 01:30:00+08:00
2015,Lexus,CT 200h,Base,Hatchback,automatic,jthkd5bh2f2224217,fl,5.0,1661.0,gray,beige,lexus of pembroke pines,24900.0,26500.0,2015-05-27 02:35:00+07:00
2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap6ec168696,nj,1.0,21346.0,gray,black,enterprise vehicle exchange / tra / rental / tulsa,14600.0,9000.0,2015-01-07 12:00:00+08:00
2013,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb6d7219739,ny,2.0,38701.0,gray,black,hertz/tra,11500.0,5600.0,2015-02-11 01:00:00+08:00
2004,Mercedes-Benz,CLK-Class,CLK55 AMG,Convertible,automatic,wdbtk76g84t024831,oh,2.0,1.0,silver,black,tc's used cars llc,3025.0,350.0,2015-06-23 02:30:00+07:00
2014,Chrysler,300,Base,Sedan,automatic,2c3ccaagxeh263111,ca,3.0,18425.0,gray,black,hertz corporation/gdp,19550.0,20700.0,2015-02-11 04:30:00+08:00
2013,Kia,Optima,EX,Sedan,automatic,5xxgn4a74dg225299,tx,4.0,13560.0,red,gray,kia motors finance,16300.0,18100.0,2015-05-27 03:30:00+07:00
2013,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ek3dg613196,mi,1.0,20002.0,white,gray,ford motor credit company llc,22700.0,25000.0,2014-12-18 13:10:00+08:00
2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar8bm352661,tx,4.0,46782.0,blue,black,nissan infiniti lt,17250.0,18800.0,2015-03-04 02:30:00+08:00
2011,BMW,X6,xDrive50i,SUV,automatic,5uxfg8c54blz95989,ga,4.0,69731.0,white,beige,financial services remarketing (lease),31600.0,33200.0,2015-06-11 03:00:00+07:00
2015,Kia,Sorento,LX,SUV,automatic,5xyktca61fg563078,tx,5.0,14409.0,gray,black,kia motors america  inc,20800.0,20900.0,2015-01-28 02:30:00+08:00
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk6cu522761,mn,4.0,35007.0,white,black,toyota financial services,14500.0,13900.0,2015-01-07 02:30:00+08:00
2012,GMC,Terrain,SLT-1,SUV,automatic,2gkflue53c6177221,mi,4.0,38113.0,black,black,gm financial leasing,17850.0,18000.0,2015-02-26 01:30:00+08:00
2014,Mazda,CX-9,Touring,SUV,automatic,jm3tb3ca0e0432177,mn,4.0,25365.0,black,black,avis corporation,23900.0,23700.0,2015-05-27 03:30:00+07:00
2001,Volkswagen,Jetta,GLS VR6,Sedan,manual,3vwsg29m11m076196,oh,2.0,230426.0,black,gray,luxury motor car company,750.0,800.0,2015-01-15 02:05:00+08:00
2013,Dodge,Durango,Crew,SUV,automatic,1c4rdjdg3dc663012,mi,5.0,20331.0,blue,black,kevins marysville auto sales inc,26700.0,28000.0,2015-02-19 01:30:00+08:00
2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f36ca132296,pa,3.0,28273.0,white,beige,ahfc/honda lease trust/hvt  inc. eot,12650.0,11900.0,2015-02-20 01:00:00+08:00
2012,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ef8cfc22850,nv,4.0,68879.0,white,gray,budget sales & leasing,22100.0,22750.0,2014-12-19 00:00:00+08:00
1996,Toyota,Camry,DX,Sedan,automatic,4t1bg12k6tu791619,fl,2.0,148165.0,gold,beige,coggin deland ford,900.0,600.0,2015-01-27 10:00:00+08:00
2005,Ford,Five Hundred,SE,sedan,automatic,1fafp23165g163519,ga,2.0,107127.0,black,gray,automobile acceptance corp,2225.0,2600.0,2015-06-18 03:00:00+07:00
2010,Dodge,Nitro,SXT Fleet,SUV,automatic,1d4pu5gkxaw105430,tx,2.0,95095.0,black,black,rlb investments,9925.0,8600.0,2015-01-07 02:20:00+08:00
1996,Buick,Regal,Custom,Sedan,automatic,2g4wb52m9t1493070,fl,2.0,91585.0,red,gray,autonation nissan kendall,875.0,400.0,2014-12-23 12:15:00+08:00
2015,Cadillac,XTS,Luxury,Sedan,automatic,2g61m5s35f9152080,fl,3.0,8899.0,black,gray,gm remarketing,35900.0,38600.0,2015-06-01 06:00:00+07:00
2014,Dodge,Durango,Limited,SUV,automatic,1c4rdhdg2ec537539,fl,4.0,13836.0,blue,black,pv holding inc/gdp,28800.0,28800.0,2015-01-19 04:30:00+08:00
2014,Jeep,Grand Cherokee,Limited,SUV,automatic,1c4rjfbg1ec102348,pa,3.0,16121.0,blue,beige,chrysler group llc,32700.0,30600.0,2015-01-08 09:30:00+08:00
2014,Chevrolet,Impala,LT,Sedan,automatic,2g1115sl3e9239456,fl,3.0,23557.0,silver,black,gm remarketing,18150.0,18200.0,2015-01-26 05:00:00+08:00
2011,Nissan,Sentra,2.0 SL,Sedan,automatic,3n1ab6ap7bl674328,pr,3.0,45488.0,blue,beige,oriental bank,8700.0,6000.0,2015-02-12 03:30:00+08:00
2014,Dodge,Charger,R/T,Sedan,automatic,2c3cdxct2eh259273,fl,3.0,16610.0,gray,black,gsp transportation inc,23100.0,22400.0,2015-03-02 04:30:00+08:00
2010,Kia,Soul,!,Wagon,automatic,kndjt2a20a7701637,pa,3.0,62502.0,white,black,td auto finance,8250.0,6800.0,2015-01-21 01:30:00+08:00
2007,Honda,Odyssey,EX,Minivan,automatic,5fnrl384x7b119760,va,2.0,50229.0,silver,gray,toyota of glen burnie,9450.0,7700.0,2015-02-12 01:05:00+08:00
1996,Jeep,Cherokee,Sport,SUV,automatic,1j4fj68s3tl286178,pa,1.0,140115.0,white,gray,purple heart,950.0,1450.0,2014-12-30 13:01:00+08:00
2014,Chevrolet,Spark,1LT,hatchback,automatic,kl8cd6s95ec534030,ca,2.0,25502.0,silver,black,fox rent a car tra,9325.0,2600.0,2015-05-27 08:05:00+07:00
2012,Honda,Pilot,LX,SUV,automatic,5fnyf3h25cb009713,ca,4.0,59308.0,white,beige,ahfc/honda lease trust/hvt  inc.,16200.0,18000.0,2015-02-12 04:00:00+08:00
1997,Ford,Explorer,Sport,SUV,automatic,1fmcu24x6vua73146,md,2.0,190064.0,green,gray,purple heart services inc,550.0,300.0,2015-01-13 12:00:00+08:00
2011,Toyota,Camry,LE,sedan,automatic,4t1bf3ek5bu767899,pa,4.0,51351.0,blue,gray,hawthorne auto sales co,10350.0,10700.0,2015-06-19 02:00:00+07:00
2014,Jeep,Compass,Sport,SUV,automatic,1c4njcba8ed843230,mn,4.0,16188.0,silver,black,pv holding inc/gdp,14300.0,13200.0,2015-01-14 05:00:00+08:00
2010,Ford,Fusion Hybrid,Base,Sedan,automatic,3fadp0l32ar109070,nc,3.0,86431.0,silver,gray,national fleet leasing,10750.0,10000.0,2015-02-02 01:30:00+08:00
2014,FIAT,500L,Trekking,Wagon,automatic,zfbcfadh1ez019406,fl,4.0,11037.0,yellow,black,chrysler group llc,13450.0,13500.0,2015-02-02 04:30:00+08:00
2012,Infiniti,G Coupe,G37,g coupe,automatic,jn1cv6ek5cm422258,fl,4.0,36074.0,black,black,nissan infiniti lt,20900.0,20000.0,2015-06-03 02:00:00+07:00
2010,Lexus,RX 350,Base,SUV,automatic,jtjzk1ba6a2402900,ca,4.0,59940.0,red,tan,desert auto trade,21100.0,26000.0,2015-02-12 04:30:00+08:00
2007,Pontiac,Grand Prix,Base,Sedan,automatic,2g2wp552771116456,pa,2.0,151725.0,gray,black,classic chevrolet bmw,2475.0,2600.0,2015-02-11 04:00:00+08:00
2013,Ford,Explorer,Sport,SUV,automatic,1fm5k8gtxdgb53301,nv,4.0,23103.0,red,black,towbin dodge,36000.0,36750.0,2014-12-31 12:00:00+08:00
2009,Ford,F-150,Lariat,SuperCrew,automatic,1ftpw14v49fa51780,nj,4.0,85612.0,white,gray,bank of america,20700.0,23300.0,2015-02-04 01:30:00+08:00
2013,FIAT,500,Pop,Hatchback,automatic,3c3cffar1dt607873,pa,2.0,17785.0,blue,black,bellco fcu,8300.0,4000.0,2015-06-09 02:30:00+07:00
2014,Kia,Rio,LX,Sedan,automatic,knadm4a34e6390978,wa,5.0,9111.0,red,beige,kia motors america  inc,12100.0,12000.0,2015-01-14 04:30:00+08:00
2014,Chevrolet,Traverse,LT,SUV,automatic,1gnkrhkd7ej375597,il,4.0,20219.0,white,gray,gm remarketing,24500.0,27000.0,2015-06-11 04:00:00+07:00
2014,Kia,Soul,Base,Wagon,automatic,kndjn2a22e7022064,ga,5.0,28160.0,black,black,chrysler / dodge / jeep / ram of gadsden,11650.0,12800.0,2015-03-03 01:30:00+08:00
2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb9e7415228,il,3.0,22163.0,silver,black,gm remarketing,12200.0,12300.0,2015-06-11 04:00:00+07:00
2014,Dodge,Durango,Limited,SUV,automatic,1c4rdjdg1ec531027,pa,4.0,13506.0,white,beige,pv holding inc/gdp,30500.0,29200.0,2015-01-22 01:30:00+08:00
2001,Honda,Accord,EX V-6,Coupe,automatic,1hgcg22541a005258,va,2.0,217574.0,silver,gray,purple heart,1425.0,1650.0,2015-02-12 03:50:00+08:00
2009,Chevrolet,Express Cargo,2500,Van,automatic,1gcgg256591137817,va,1.0,211842.0,white,gray,lease plan usa,7900.0,2200.0,2015-01-22 03:50:00+08:00
2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4aexeh480389,fl,2.0,17320.0,red,gray,enterprise vehicle exchange / tra / rental / tulsa,13250.0,11400.0,2015-01-06 01:00:00+08:00
2014,Dodge,Grand Caravan,SXT,minivan,automatic,2c4rdgcgxer388042,pa,4.0,28298.0,blue,black,pv holding inc/gdp,16350.0,16200.0,2015-05-28 02:30:00+07:00
2014,Ford,Edge,Limited,SUV,automatic,2fmdk4kc4eba78910,ga,5.0,27263.0,gray,gray,avis budget group,25100.0,26100.0,2015-02-09 02:00:00+08:00
2015,Jeep,Patriot,Sport,suv,automatic,1c4njpba0fd125938,il,3.0,13547.0,white,black,hertz corporation/gdp,15400.0,15300.0,2015-06-18 04:00:00+07:00
2012,Nissan,Altima,2.5,sedan,automatic,1n4al2apxcc157787,oh,4.0,33864.0,gray,black,nissan-infiniti lt,11750.0,12800.0,2015-06-09 02:30:00+07:00
